uniqueID,year_elected
Abbott1869,1913
Abbott1886,1925
Abbott1886,1931
Abbott1891,1940
Abbott1957,1994
Abel1939,1975
Adams1951,1993
Adermann1896,1949
Adermann1896,1943
Adermann1927,1984
Adermann1927,1972
Ahern1871,1913
Albanese1963,1996
Aldred1945,1983
Aldred1945,1990
Aldred1945,1975
Alexander1951,2010
Alexander1951,2018
Allan1916,1953
Allen1966,2019
Aly1967,2016
Anderson1956,1989
AndersonCharles1897,1949
AndersonCharles1897,1955
AndersonGordon1897,1949
Andren1946,1996
Andrew1944,1983
Andrews1900,1949
Andrews1955,1991
Andrews1960,2010
Anstey1865,1910
Anthony1897,1937
Anthony1929,1957
Anthony1961,1996
Archer1871,1906
Archer1975,2019
Archibald1852,1910
Armitage1920,1969
Armitage1920,1961
Armstrong1909,1965
Arthur1875,1913
Arthur1918,1966
AshleyBrown1915,1972
Aston1916,1955
Aston1916,1963
Atkinson1867,1906
Atkinson1948,1990
Badman1885,1937
Bailey1946,1990
Bailey1946,1996
Baillieu1937,1975
Baird1942,1998
Baker1873,1940
Baker1903,1934
Baker1903,1931
Baker1958,2004
Baldwin1951,1983
Baldwin1955,1996
Baldwin1955,2001
Bamford1849,1901
Bandidt1906,1958
Bandt1972,2010
Banks1962,2016
Barnard1890,1934
Barnard1919,1954
Barnes1901,1958
Barresi1955,1996
Bartlett1949,1996
Barton1849,1901
Barwick1903,1958
Batchelor1865,1903
Batchelor1865,1901
Bate1906,1949
Baume1930,1975
Bayley1882,1917
Beale1898,1946
Beale1934,1990
Beale1934,1984
Beard1866,1910
Beasley1895,1928
Beaton1925,1960
Beazley1917,1945
Beazley1948,1996
Beazley1948,1980
Beck1882,1940
Beddall1948,1983
Beddall1948,1984
Bell1872,1919
Bell1872,1925
Bell1968,2019
Bennett1872,1912
Bennett1874,1913
Bennett1933,1969
Benson1909,1962
Berinson1932,1969
Berry1907,1949
Best1856,1910
Bevis1955,1990
Bidgood1959,2007
Billson1966,1996
Bilney1939,1983
Bird1906,1949
Bird1962,2004
Birney1928,1975
Birrell1913,1963
Bishop1942,1994
Bishop1956,1998
Blackburn1880,1934
Blackburn1889,1946
Blacklow1879,1931
Blackwood1861,1903
Blain1894,1934
Blakeley1886,1917
Blanchard1929,1983
Bland1882,1951
Blewett1933,1977
Blundell1871,1919
Blunt1951,1984
Bonnett1916,1966
Bonython1848,1903
Bonython1848,1901
Bosman1924,1963
Bostock1892,1949
Bourchier1929,1972
Bourke1913,1949
Bowden1871,1906
Bowden1871,1919
Bowden1871,1922
Bowden1888,1943
Bowen1911,1964
Bowen1922,1969
Bowen1973,2010
Bowen1973,2004
Boyd1867,1913
Bradbury1976,2007
Braddon1829,1901
Braddon1829,1903
Bradfield1933,1975
Bradford1946,1990
Braithwaite1933,1975
Brand1888,1954
Breen1898,1940
Brennan1873,1911
Brennan1873,1934
Brereton1946,1990
BridgesMaxwell1929,1964
Briggs1977,2008
Brimblecombe1898,1951
Broad1975,2013
Broadbent1950,1990
Broadbent1950,1996
Broadbent1950,2004
Broadbent1950,2019
Brodtmann1963,2010
Brough1961,2013
Brough1961,1996
Brown1843,1906
Brown1861,1906
Brown1861,1901
Brown1894,1949
Brown1931,1977
Brown1933,1984
Brown1933,1980
Brown1940,1969
Brown1940,1975
Brown1940,1984
Brownbill1914,1966
Browne1924,1958
Bruce1883,1918
Bruce1883,1931
Bruce1884,1951
Brumby1953,1983
Bryant1914,1955
Bryson1898,1943
Bryson1898,1949
Buchanan1905,1955
Buchholz1968,2010
Bungey1934,1974
Burchell1883,1913
Burke1910,1943
Burke1966,1998
Burke1969,2004
Burney1957,2016
Burns1869,1913
Burns1933,1977
Burns1987,2019
Burr1939,1984
Burr1939,1975
Bury1913,1956
Butler1970,2007
Butler1970,2019
Butler1977,2014
Byrne1962,1999
Cadman1937,1974
Cairns1914,1969
Cairns1914,1955
Cairns1929,1963
Cairns1929,1974
Calder1916,1966
Calwell1896,1940
Cameron1851,1901
Cameron1851,1904
Cameron1873,1922
Cameron1879,1919
Cameron1895,1934
Cameron1900,1949
Cameron1913,1949
Cameron1917,1961
Cameron1930,1977
Cameron1938,1980
Cameron1940,1977
Cameron1940,1966
Cameron1940,1983
Cameron1965,1996
CameronEoin1951,1993
Campbell1939,1980
Campbell1972,2007
Cann1871,1910
Carige1938,1975
Carlton1935,1977
Carpenter1863,1903
Carr1875,1906
Casey1890,1931
Casey1890,1949
Cash1919,1958
Cass1927,1969
Catley1942,1990
Catts1877,1906
Causley1940,1996
Chalmers1978,2013
Chambers1897,1943
Champion1972,2007
Champion1972,2019
Chaney1914,1955
Chaney1941,1990
Chanter1845,1901
Chanter1845,1904
Chanter1845,1914
Chapman1864,1901
Chapman1949,1975
Charles1936,1990
Charles1948,1980
Charlesworth1952,1983
Charlton1866,1910
Cheeseman1976,2007
Chester1967,2008
Chesters1980,2013
Chifley1885,1928
Chifley1885,1940
Child1921,1974
Child1921,1980
Chipp1925,1960
Chipp1925,1969
Chresby1908,1958
Christensen1978,2010
Chynoweth1941,1984
Chynoweth1941,1993
Chynoweth1941,1983
Ciobo1974,2001
Clare1972,2007
Clarey1890,1949
Clark1897,1934
Clarke1857,1901
Clasby1891,1931
Clay1900,1958
Claydon1964,2013
Clayton1942,1974
Cleary1952,1992
Cleary1952,1993
Cleaver1917,1955
Cleeland1938,1984
Cleeland1938,1993
Coates1944,1972
Cobb1945,1984
Cobb1950,2007
Cobb1950,2001
Cockle1908,1961
Cohen1935,1969
Coker1962,2019
Coleman1892,1922
Coleman1928,1981
Coleman1974,2013
Coles1892,1940
Collard1912,1961
Collins1878,1928
Collins1886,1931
Collins1971,2007
Comber1919,1961
Combet1958,2007
Conaghan1971,2019
Conelan1895,1939
Connelly,2019
Connolly1939,1974
Connor1907,1963
Conquest1930,1984
Conroy1864,1901
Conroy1864,1913
Conroy1979,2013
Conroy1979,2016
Considine1885,1917
Cook1860,1901
Cook1868,1919
Cooke1847,1901
Cooke1938,1972
Coon1869,1906
Cope1907,1955
Cope1907,1969
Cope1907,1955
Corbett1906,1966
Corboy1896,1918
Corcoran1951,2000
Corser1852,1915
Corser1882,1928
Costa1900,1949
Costello1957,1990
Cotter1935,1975
Coulton1958,2007
Courtice1950,1987
Courtnay1903,1958
Coutts1908,1954
Coutts1908,1961
Cowan1926,1980
Cox1954,1998
Cramer1897,1949
Crawford1947,1987
Crean1916,1951
Crean1949,1990
Cremean1907,1949
Crewther1983,2016
Crook1959,2010
Crosio1939,1990
Cross1929,1961
Cross1929,1980
Crouch1868,1929
Crouch1868,1901
Cruickshank1853,1901
Culley1877,1928
Culpin1846,1903
Cunningham1889,1919
Cunningham1889,1929
Cunningham1939,1980
Cunningham1939,1993
Curtin1885,1928
Curtin1885,1934
Curtin1898,1955
Curtin1898,1949
Cusack1868,1929
Daly1912,1949
Daly1912,1943
Danby1955,1998
Dankel1864,1913
Dargavel1966,1997
Darling1936,1980
DAth1970,2007
Davidson1897,1946
Davidson1897,1949
Davies1884,1949
Davies1919,1958
Davis1900,1949
Dawkins1947,1977
Dawkins1947,1974
Deahm1938,1993
Deakin1856,1901
Dean1913,1949
Dean1942,1977
Debus1943,2007
Dedman1896,1940
Dein1889,1931
Dennis1870,1931
Devine1923,1963
Dick1972,2016
Dobie1927,1969
Dobie1927,1975
Dobie1927,1966
Dodd1953,1993
Dondas1939,1996
Downer1910,1949
Downer1951,1984
Doyle1922,1972
Drakeford1878,1934
Draper1959,1996
Dreyfus1956,2007
Drum1960,2016
Drum1960,2019
Drummond1890,1949
Drummond1931,1972
Drury1911,1949
Dubois1940,1984
Duffy1938,1980
Duncan1945,1984
DuncanHughes1882,1922
DuncanHughes1882,1940
Duthie1912,1946
Dutton1970,2001
Easson1955,1993
Edmonds1903,1946
Edwards1842,1901
Edwards1855,1910
Edwards1855,1901
Edwards1927,1972
Edwards1945,1983
Edwards1946,1998
Eggins1898,1949
Einfeld1909,1961
Eldridge1872,1929
Ellicott1927,1974
Elliot1967,2004
Elliott1954,1990
Ellis1946,1998
Ellis1946,1996
Ellis1977,2004
Elson1947,1996
Emerson1954,1998
Enderby1926,1970
Enderby1926,1974
England1911,1960
Entsch1950,1996
Entsch1950,2010
Erwin1917,1955
Evans1944,1996
Evans1981,2016
EvansMartyn1953,1994
EvansRichard1953,1993
Evatt1894,1940
Evatt1894,1958
Everingham1923,1967
Everingham1923,1977
Everingham1943,1984
Ewert1918,1952
Ewing1856,1901
Fadden1894,1936
Fadden1894,1949
Fahey1945,1996
Failes1899,1949
Fairbairn1855,1906
Fairbairn1897,1933
Fairbairn1917,1949
Fairhall1909,1949
Falconer1943,1975
Falinski1970,2016
Falkinder1921,1946
Falkiner1867,1917
Falkiner1867,1913
Falstein1914,1940
Farmer1962,2001
Fatin1941,1984
Fatin1941,1983
Fawcett1963,2004
Feeney1970,2013
Fenton1864,1910
Ferguson1952,1990
Ferguson1952,2010
Ferguson1953,1996
Ferguson1974,2004
Fife1929,1975
Fife1929,1984
Filing1955,1990
Finlayson1867,1910
Fischer1946,1984
Fisher1862,1901
Fisher1936,1972
Fisken1897,1934
Fitzgerald1910,1949
Fitzgibbon1936,1984
Fitzgibbon1962,1996
FitzPatrick1915,1969
FitzPatrick1915,1977
Fleming1874,1913
Fletcher1965,2009
Flint1978,2016
Foley1872,1920
Forbes1923,1956
Ford1936,1990
Forde1890,1922
Forrest1847,1901
Forrest1949,1993
Foster1856,1909
Foster1872,1906
Foster1921,1969
Fowler1865,1901
Fox1912,1955
Foxton1849,1906
Francis1873,1925
Francis1881,1919
Francis1890,1922
Fraser1902,1943
Fraser1902,1969
Fraser1908,1951
Fraser1930,1955
Frazer1880,1903
Free1943,1984
Free1943,1980
Freelander1953,2016
Freeth1914,1949
Frost1882,1929
Frost1882,1934
Fry1920,1974
Frydenberg1971,2010
Fuller1861,1901
Fuller1893,1943
Fuller1893,1951
Fuller1893,1961
Fulton1909,1958
Fysh1835,1903
Fysh1835,1901
Gabb1882,1919
Gabb1882,1929
Gaha1894,1943
Gallus1943,1990
Gallus1943,1993
Galvin1911,1951
Gambaro1958,2010
Gambaro1958,1996
Gander1888,1931
Garden1882,1934
Gardner1884,1922
Garland1934,1969
Garrett1953,2004
Garrick1918,1969
Gash1944,1996
Gayler1943,1983
Gear1947,1984
Gear1947,1983
Gee1968,2016
Gellibrand1872,1925
Georganas1959,2019
Georganas1959,2004
Georganas1959,2016
George1947,2001
Georgiou1947,1994
Gerick1963,1998
Gibb1843,1903
Gibbons1887,1929
Gibbons1949,1998
Gibbs1922,1963
Gibson1869,1918
Gibson1869,1931
Gibson1935,1964
Gibson1954,1990
Giles1923,1964
Giles1923,1977
Giles1973,2013
Gillard1920,1975
Gillard1961,1998
Gillespie1957,2013
Gilmore1908,1949
Glynn1855,1903
Glynn1855,1901
Goodenough1975,2013
Goodluck1933,1975
Gordon1865,1911
Gorman1926,1983
Gorman1926,1984
Gorman1984,2018
Gorton1911,1968
Gosling1971,2016
Grace1931,1984
Grace1940,1996
Graham1919,1966
Graham1919,1949
Graham1919,1955
Grassby1926,1969
Gray1908,1961
Gray1958,2007
Grayden1920,1949
Green1869,1922
Green1885,1922
Greenup1902,1953
Gregory1860,1913
Gregory1860,1922
Grierson1951,2001
Griffin1960,1996
Griffin1960,1993
Griffiths1903,1949
Griffiths1952,1983
Griggs1969,2010
Groom1833,1901
Groom1852,1901
Groom1867,1901
Groom1867,1931
Groom1944,1975
Gullett1878,1925
Gullett1914,1946
Gun1936,1969
Guy1890,1929
Guy1890,1940
Haase1945,2010
Haase1945,1998
Hadley1893,1943
Haines1961,2019
Halbert1910,1958
Hale1969,2007
Hall1874,1906
Hall1928,1981
Hall1949,1998
Hallett1917,1963
Halverson1937,1984
Hamer1923,1969
Hamer1923,1975
Hamilton1899,1949
Hamilton1899,1946
Hamilton1979,2020
Hammond1968,2019
Hammond1975,2016
Hampson1864,1915
Hand1942,1983
Handby1903,1949
Hannan1873,1913
Hansen1922,1961
Hanson1954,1996
Hardgrave1960,1996
Harding1921,1961
Harper1842,1901
Harris1937,1980
Harrison1880,1931
Harrison1892,1931
Harrison1903,1949
Hart1960,2016
Hartnoll1841,1902
Hartsuyker1959,2001
Harvey1946,1987
Haslem1939,1975
Hasluck1905,1949
Hastie1982,2015
Hatton1951,1996
Haviland1952,1993
Hawke1929,1980
Hawke1977,2007
Hawker1894,1929
Hawker1949,1983
Haworth1905,1949
Hay1865,1919
Hayden1933,1961
Hayes1955,2010
Hayes1955,2005
Haylen1898,1943
Hedges1856,1906
Heitmann1878,1917
Henderson1964,2013
Hendy1962,2013
Henry1946,2004
Henzell1948,1993
Hewson1914,1972
Hewson1946,1987
Hicks1940,1980
Hicks1940,1993
Hicks1940,1984
Higgins1851,1901
Higgs1862,1910
Hill1866,1919
Hill1973,2016
Hoare1963,1998
Hockey1965,1996
Hodges1937,1974
Hodges1937,1984
Hodgman1938,1975
Hogan1963,2013
Holder1850,1901
Holder1850,1903
Holding1931,1977
Hollis1938,1983
Hollis1938,1984
Holloway1875,1929
Holloway1875,1931
Holman1871,1931
Holt1908,1935
Holt1908,1949
Holt1914,1955
Holten1922,1958
Horne1939,1993
Horne1939,1998
Howard1939,1974
Howarth1972,2013
Howe1861,1910
Howe1936,1977
Howroyd1867,1917
Howse1863,1922
Howse1913,1946
Howson1919,1969
Howson1919,1955
Hughes1862,1917
Hughes1862,1949
Hughes1862,1922
Hughes1862,1901
Hughes1923,1969
Hughes1923,1963
Hull1954,1998
Hulls1957,1990
Hulme1907,1949
Hulme1907,1963
HumeCook1866,1901
Humphreys1934,1977
Hunt1928,1969
Hunt1965,2001
Hunter1882,1921
Hurford1931,1969
Hurry1868,1922
Husar1980,2016
Husic1970,2010
Hutchin1887,1931
Hutchinson1904,1937
Hutchinson1904,1931
Hutchinson1965,2013
Hutchison1859,1903
Hyde1936,1974
Innes1925,1972
Irons1958,2007
Irvine1856,1906
Irvine1858,1906
Irwin1898,1963
Irwin1951,1998
Isaacs1855,1901
Jack1892,1949
Jackson1889,1919
