uniqueID,year_elected
Jackson1962,2001
Jackson1962,2007
Jacobi1928,1969
Jakobsen1947,1984
James1885,1928
James1914,1960
Jarman1923,1966
Jeanes1958,1996
Jenkins1925,1969
Jenkins1952,1986
Jennings1878,1931
Jennings1878,1934
Jensen1865,1910
Jensen1962,2004
Jess1922,1960
Jessop1927,1966
Johns1952,1987
Johnson1862,1903
Johnson1871,1910
Johnson1889,1940
Johnson1924,1955
Johnson1924,1969
Johnson1929,1969
Johnson1943,1975
Johnson1970,2001
Johnston1930,1977
Johnston1943,1996
Jolley1874,1914
Jolly1882,1937
Jones1878,1928
Jones1917,1958
Jones1944,1966
Jones1960,2010
Jones1965,2010
Jones1965,2016
JonesBarry1932,1977
Joshua1906,1951
Joske1895,1951
Jowett1858,1917
Joyce1967,2013
Joyce1967,2017
Jull1944,1975
Jull1944,1984
Katter1918,1966
Katter1945,1993
Keane1881,1929
Kearney1903,1956
Kearney1963,2018
Kearney1963,2019
Keating1944,1969
Keay1975,2016
Keay1975,2018
Keenan1972,2004
Kekwick1910,1949
Kelly1877,1903
Kelly1912,1958
Kelly1948,1980
Kelly1954,1996
Kelly1960,2007
Kelly1960,2016
Kelly1963,2010
Kelly1964,1996
Kelly1964,1996
Kemp1941,1990
Kendell1851,1913
Kennedy1860,1901
Kennedy1940,1969
Kent1927,1980
KentHughes1895,1949
Keogh1931,1969
Keogh1931,1983
Keogh1981,2016
Keon1915,1949
Kerby1885,1919
Kerin1937,1972
Kerin1937,1978
Kernot1948,1998
Kerr1952,1987
Khalil1973,2016
Killen1860,1922
Killen1925,1955
King1920,1958
King1952,2001
King1966,2001
King1973,2016
Kingston1850,1903
Kingston1850,1901
Kirwan1869,1901
Kirwan1937,1969
Klugman1924,1969
Knott1956,1993
Knox1850,1901
Lacey1887,1922
Lamb1939,1972
Lamb1939,1984
Lamb1972,2016
Lamb1972,2018
Lambert1881,1921
Laming1966,2004
Lamond1865,1917
Landry1962,2013
Lane1873,1931
Lang1876,1946
Langmore1939,1984
Langtry1880,1940
Latham1877,1922
Latham1961,1994
Laundy1971,2013
Lavarch1961,1993
Lavarch1961,1987
Lavelle1887,1919
Lawler1961,1998
Lawrence1906,1949
Lawrence1948,1994
Lawson1880,1931
Lawson1897,1931
Lazzarini1894,1919
Lazzarini1894,1934
Leckie1872,1917
Lee1856,1903
Lee1920,1966
Lee1957,1984
Leeser1976,2016
Leigh1972,2016
Leigh1972,2010
Lemmon1908,1943
Lemmon1908,1954
Leslie1900,1949
Leslie1900,1961
Lewis1882,1929
Ley1879,1925
Ley1961,2001
Liddell1862,1903
Lieberman1938,1993
Lindsay1905,1954
Lindsay1942,1983
Lindsay1944,1996
Lister1875,1917
Littleproud1976,2016
Liu1964,2019
Livermore1969,1998
Livingston1856,1906
Lloyd1937,1971
Lloyd1954,1996
Long1885,1928
Lonsdale1843,1903
Luchetti1904,1951
Luck1900,1955
Luck1900,1951
Lucock1916,1952
Lusher1945,1974
Lynch1862,1914
Lynch1933,1966
Lyne1844,1901
Lyons1879,1929
Lyons1897,1943
Lyons1953,2010
MacdonaldPaterson1844,1901
Macfarlane1955,1998
Mack1933,1990
Mackay1872,1917
Mackay1919,1963
MacKellar1938,1969
MacKenzie1941,1975
Mackinnon1903,1953
Mackinnon1903,1949
Macklin1953,1996
Macphee1938,1974
Macphee1938,1984
MacTiernan1953,2013
Maher1936,1982
Mahon1857,1901
Mahon1857,1913
Mahon1857,1919
Mahoney1892,1934
Mahony1877,1915
Maisey1915,1963
Makin1889,1955
Makin1889,1919
Makin1889,1954
Maloney1854,1904
Manifold1867,1901
Manifold1867,1913
Mann1874,1922
Manning1872,1922
Marek1964,1996
Marino1954,2007
Marks1875,1919
Markus1958,2004
Markus1958,2010
Marles1967,2007
Marr1880,1919
Marr1880,1931
Martens1874,1928
Martin1920,1969
Martin1948,1993
Martin1948,1984
Martin1977,2019
Martyr1932,1975
Marwick1895,1940
MassyGreene1874,1910
Matheson1958,2010
Mathews1865,1906
Mathews1935,1972
Mauger1857,1906
Mauger1857,1901
Maxwell1859,1917
May1950,1998
Mayer1932,1983
McArthur1937,1984
McBain1982,2020
McBride1892,1931
McBride1892,1946
McBride1975,2016
McCall1908,1934
McCay1864,1901
McClelland1875,1931
McClelland1958,1996
McColl1844,1901
McColm1914,1949
McCormack1964,2010
McDonald1861,1901
McDonald1872,1922
McDonald1888,1940
McDougall1867,1906
McDougall1946,1996
McEacharn1852,1901
McEwen1900,1934
McEwen1900,1937
McEwen1900,1949
McFarlane1944,1998
McGauran1955,1983
McGowan1953,2013
McGrath1872,1913
McGrath1872,1920
McGuren1909,1961
McHugh1892,1938
McHugh1934,1993
McHugh1934,1983
McIntosh1977,2019
McIvor1900,1955
McKenzie1933,1972
McKew1953,2007
McLachlan1936,1990
McLean1840,1901
McLean1863,1901
McLean1944,1975
McLeay1893,1949
McLeay1922,1966
McLeay1945,1979
McLeay1945,1993
McLeod1892,1940
McLeod1892,1951
McMahon1908,1949
McMahon1930,1975
McMillan1850,1901
McMullan1947,1996
McMullan1947,1998
McNamara1964,2013
McNeill1868,1922
McNeill1868,1929
McNeill1921,1961
McNicoll1877,1931
McTiernan1892,1929
McVeigh1930,1972
McVeigh1930,1984
McVeigh1965,2016
McWilliams1856,1903
McWilliams1856,1928
Melham1954,1990
Menzies1894,1934
Mildren1932,1980
Miles1947,1984
Millar1925,1974
Milton1928,1980
Minogue1893,1949
Mirabella1968,2001
MitchellBrian1967,2016
MitchellRobert1967,2010
Moloney1876,1919
Moloney1876,1910
Moloney1876,1914
Monaghan1921,1961
Moore1936,1975
Morgan1881,1929
Morgan1897,1940
Morgan1897,1949
Morris1932,1972
Morris1940,1983
Morrison1928,1969
Morrison1928,1980
Morrison1968,2007
Mortimer1912,1963
Morton1981,2016
Mossfield1935,1996
Mountford1933,1980
Mountjoy1906,1943
Moylan1944,1993
Mulcahy1882,1934
Mulder1928,1972
Mulino1969,2019
Mullens1896,1949
Munro1930,1966
Murphy1950,1998
Murphy1950,2010
Murphy1973,2019
Murray1915,1958
Mutch1956,1996
Nairn1879,1929
Nairn1951,1996
Neal1963,2007
Nehl1934,1984
Neil1944,1975
Nelson1881,1922
Nelson1908,1949
Nelson1958,1996
Neumann1961,2007
Neville1940,1993
Newell1952,1990
Newman1933,1975
Nicholls1885,1917
Nicholls1917,1963
Nikolic1961,2013
Nixon1928,1961
Nock1879,1931
Nott1888,1949
Nott1888,1925
Nugent1938,1990
Oakeshott1969,2008
OBrien1926,1961
OBrien1972,2016
OBrien1974,2016
OByrne1968,1998
OConnor1910,1955
OConnor1910,1949
OConnor1910,1946
OConnor1947,1993
OConnor1962,2001
OConnor1962,2004
ODowd1950,2010
ODwyer1977,2009
OKeefe1864,1922
OKeefe1912,1969
OKeefe1947,1984
Oldmeadow1924,1972
Olley1927,1972
OMalley1854,1903
OMalley1854,1901
ONeil1937,1983
ONeil1980,2013
ONeill1961,2010
Opperman1904,1949
Orchard1871,1913
Organ1956,2002
Osborne1909,1949
OToole1956,2016
Owens1958,2004
Ozanne1877,1910
Ozanne1877,1914
Page1861,1901
Page1880,1919
Palmer1859,1906
Palmer1859,1907
Palmer1954,2013
Parke1966,2007
Parkhill1879,1927
Parsons1881,1925
Pasin1977,2013
Paterson1844,1901
Paterson1882,1922
Patten1859,1913
Patterson1927,1966
Payne1982,2019
Peacock1939,1966
Pearce1917,1949
Pearce1963,2001
Pearce1967,2019
Pearsall1920,1966
Perkins1878,1926
Perkins1878,1931
Perrett1966,2007
Peters1897,1949
Peters1897,1955
Pettitt1910,1963
Phelps1957,2018
Phillips1855,1901
Phillips1970,2019
Piesse1848,1901
Pigott1866,1913
Pitt1969,2013
Pittard1902,1949
Plibersek1969,1998
Pollard1894,1937
Pollard1894,1949
Porter1950,1975
Porter1970,2013
Poynton1853,1903
Poynton1853,1901
Pratt1948,1988
Pratten1865,1922
Pratten1865,1921
Pratten1899,1928
Prentice1953,2010
Price1882,1928
Price1892,1941
Price1945,1984
Price1963,2013
Prosser1948,1987
Prowse1871,1922
Prowse1871,1919
Punch1957,1983
Pyne1967,1993
Quick1852,1901
Quick1941,1993
Raguse1960,2007
Ramsey1956,2007
Randall1953,2001
Randall1953,1996
Rankin1887,1937
Rea1963,2007
Reeves1952,1983
Reid1845,1901
Reid1845,1903
Reid1916,1969
ReidNicholas1935,1990
Reith1950,1982
Reith1950,1984
Reynolds1923,1958
Reynolds1923,1969
Richardson1939,1975
Richardson1958,2004
Riggall1941,1990
Riley1859,1910
Riley1892,1922
Riordan1886,1929
Riordan1908,1936
Riordan1930,1972
Ripoll1966,1998
Rishworth1978,2007
Robb1951,2004
Robert1970,2007
Roberton1900,1949
Roberts1869,1908
Robinson1872,1903
Robinson1927,1963
Robinson1927,1984
Robinson1929,1972
Rocher1936,1981
Rodgers1875,1913
Rodgers1875,1925
Ronald1861,1901
Ronaldson1954,1990
Rosevear1892,1931
Rowe1872,1929
Rowland1971,2010
Roxon1967,1998
Roy1990,2010
Rudd1957,1998
Ruddock1943,1993
Ruddock1943,1977
Ruddock1943,1973
Russell1890,1943
Russell1907,1949
Ryan1876,1919
Ryan1884,1940
Ryan1961,2013
Ryrie1865,1911
Ryrie1865,1922
Saffin1954,2007
Sainsbury1940,1975
Salmon1861,1915
Salmon1861,1901
Sampson1863,1906
Saunderson1948,1984
Saunderson1948,1983
Sawers1844,1901
Sawford1944,1988
Scholes1931,1967
Scholfield1894,1931
Schultz1939,1998
Sciacca1947,1987
Sciacca1947,1998
Scott1934,1980
Scott1943,1990
Scott1947,1988
Scott1977,2013
Scullin1876,1910
Scullin1876,1922
Scully1890,1937
Seabrook1867,1922
Secker1956,1998
Sercombe1949,1996
Sexton1905,1958
Shack1953,1977
Shack1953,1984
Sharkie1972,2016
Sharkie1972,2018
Sharma1975,2019
Sharp1954,1984
Sharp1954,1993
Sharpe1868,1913
Shaw1913,1963
Sheehan1891,1937
Sheehy1899,1943
Sherry1924,1969
Shipton1936,1975
Short1936,1975
Short1956,2001
Shorten1967,2007
Sidebottom1951,1998
Sidebottom1951,2007
Simmonds1985,2019
Simmons1947,1983
Simon1936,1975
Simpkins1964,2007
Sinclair1864,1906
Sinclair1929,1963
Skene1845,1901
Slipper1950,1984
Slipper1950,1993
Smith1851,1901
Smith1856,1901
Smith1881,1943
Smith1939,1993
Smith1950,1996
Smith1954,1984
Smith1954,1996
Smith1955,1993
Smith1967,2001
Smith1970,2019
SmithWilliam1869,1910
Smyth1959,1995
Smyth1976,2010
Snedden1926,1955
Snow1934,1983
Snowdon1950,2001
Snowdon1950,1987
Snowdon1950,1998
Solomon1839,1901
Solomon1853,1901
Solomon1931,1969
Somlyay1946,1990
Southcott1967,1996
Spence1846,1901
Spence1846,1917
Spender1897,1937
Spender1935,1980
Spooner1891,1940
Spurr1897,1939
Stacey1879,1931
Staley1939,1970
Stanley1961,2016
Staples1947,1983
Staples1947,1984
StClair1949,1998
Steedman1943,1983
Steggall1974,2019
Stevens1983,2019
Stewart1884,1931
Stewart1885,1919
Stewart1923,1977
Stewart1923,1953
StJohn1916,1966
Stokes1906,1955
Stone1951,1996
Storrer1854,1903
Story1857,1917
Street1894,1934
Street1926,1966
Stumm1853,1913
Sudmalis1955,2013
Sukkar1981,2013
Sullivan1929,1974
Sullivan1942,1984
Sullivan1950,2007
Swan1954,1993
Swan1954,1998
Swanson1970,2016
Swartz1911,1949
Symon1965,2007
Tambling1943,1980
Tanner1956,1993
Taylor1938,1988
Taylor1966,2013
Tehan1968,2010
Templeman1963,2016
Theodore1884,1927
Theophanous1946,1980
Theophanous1946,1984
Thistlethwaite1972,2013
Thomas1863,1901
Thompson1885,1922
Thompson1886,1946
Thompson1886,1949
Thompson1960,1998
Thompson1988,2019
Thomson1848,1901
Thomson1856,1903
Thomson1862,1906
Thomson1924,1975
Thomson1955,1996
Thomson1961,1995
Thomson1964,2007
Thorburn1930,1972
Thorby1888,1931
Thwaites1980,2019
Ticehurst1945,2001
Tickner1951,1984
Timson1909,1949
Tollner1966,2001
Townley1907,1949
Treloar1892,1949
Trevor1961,2007
Truss1948,1990
Tuckey1935,1980
Tudge1971,2010
Tudor1866,1901
Tully1877,1928
Turnbull1899,1949
Turnbull1899,1946
Turnbull1954,2004
Turner1851,1901
Turner1905,1952
Turnour1966,2007
Uren1921,1958
Vaile1956,1993
Vale1944,1996
Vamvakinou1959,2001
vanManen1965,2010
Varvaris1974,2013
Vasta1966,2004
Vasta1966,2010
Viner1933,1972
Wakelin1946,1993
Walker1942,1990
Wallace1881,1917
Wallace1968,2016
Wallis1922,1969
Ward1899,1931
Ward1899,1932
Washer1945,1998
Watkins1865,1901
Watkins1896,1935
Watson1864,1922
Watson1864,1931
Watson1867,1901
Watson1867,1906
Watson1945,1984
Watt1871,1914
Watts1982,2013
Webb1908,1955
Webb1908,1961
Webb1908,1954
Webster1860,1903
Webster1934,1984
Webster1959,2019
Wells1949,1983
Wells1985,2019
Wentworth1907,1949
West1852,1910
West1934,1977
West1952,1996
Whan1933,1972
Wheeler1909,1949
White1888,1929
White1936,1981
Whiteley1960,2013
Whitlam1916,1952
Whitlam1944,1975
Whitsitt1869,1922
Whittorn1911,1960
Wicks1973,2013
Wienholt1877,1919
Wight1914,1949
Wilkie1959,1998
Wilkie1961,2010
Wilkie1961,2019
Wilkinson1854,1901
Wilks1863,1901
Williams1897,1943
Williams1942,1993
Williams1973,2013
Willis1860,1901
Willis1938,1972
Wilson1863,1903
Wilson1880,1937
Wilson1900,1949
Wilson1900,1955
Wilson1932,1966
Wilson1932,1972
Wilson1966,2013
Wilson1972,2016
Wilson1972,2018
Wilson1980,2016
Wilton1955,1996
Windsor1950,2001
Wise1853,1906
Wise1853,1914
Wood1968,2004
Wood1968,2013
WoodsHarry1947,1990
WoodsRobert1947,1987
Wooldridge1956,1987
Worth1946,1993
Wright1942,1984
Wyatt1952,2010
Wynne1850,1906
Yates1871,1914
Yates1871,1922
Yates1921,1975
Young1936,1974
Young1968,2019
Zahra1973,1998
Zammit1941,1996
Zappia1952,2007
Zimmerman1968,2015
