uniqueID,name,gender,birthDate,member
Abbott1859,"Abbott, Richard",male,NA,0
Abbott1869,"Abbott, Percy",male,1869-05-14,1
Abbott1877,"Abbott, Mac",male,1877-07-03,0
Abbott1886,"Abbott, Aubrey",male,1886-01-04,1
Abbott1891,"Abbott, Joseph",male,1891-10-18,1
Abbott1957,"Abbott, Tony",male,1957-11-04,1
Abel1939,"Abel, John",male,1939-06-25,1
Abetz1958,"Abetz, Eric",male,1958-01-25,0
Adams1943,"Adams, Judith",female,1943-04-11,0
Adams1951,"Adams, Dick",male,1951-04-29,1
Adamson1857,"Adamson, John",male,1857-02-18,0
Adermann1896,"Adermann, Charles",male,1896-08-03,1
Adermann1927,"Adermann, Evan",male,1927-03-10,1
Ahern1871,"Ahern, Cornelius",male,1871-07-10,1
Albanese1963,"Albanese, Anthony",male,1963-03-02,1
Aldred1945,"Aldred, Ken",male,1945-08-01,1
Alexander1951,"Alexander, John",male,1951-07-04,1
Allan1916,"Allan, Ian",male,1916-01-03,1
Allen1966,"Allen, Katie",female,1966-02-24,1
Allison1946,"Allison, Lyn",female,1946-10-21,0
Alston1941,"Alston, Richard",male,1941-12-19,0
Aly1967,"Aly, Anne",female,1967-03-29,1
Amour1900,"Amour, Stan",male,1900-04-02,0
Anderson1909,"Anderson, Ken",male,1909-10-11,0
Anderson1956,"Anderson, John",male,1956-11-14,1
AndersonCharles1897,"Anderson, Charles",male,1897-02-12,1
AndersonGordon1897,"Anderson, Gordon",male,1897-12-29,1
Andren1946,"Andren, Peter",male,1946-08-28,1
Andrew1866,"Andrew, David",male,1866-11-10,0
Andrew1944,"Andrew, Neil",male,1944-06-07,1
Andrews1900,"Andrews, Tom",male,1900-10-19,1
Andrews1955,"Andrews, Kevin",male,1955-11-09,1
Andrews1960,"Andrews, Karen",female,1960-08-23,1
Anning1949,"Anning, Fraser",male,1949-10-14,0
Anstey1865,"Anstey, Frank",male,1865-08-18,1
Anthony1897,"Anthony, Larry (Hubert)",male,1897-03-12,1
Anthony1929,"Anthony, Doug",male,1929-12-31,1
Anthony1961,"Anthony, Larry (Lawrence)",male,1961-12-17,1
Antic1974,"Antic, Alex",male,1974-12-17,0
Arbib1971,"Arbib, Mark",male,1971-11-09,0
Archer1871,"Archer, Edward",male,1871-12-12,1
Archer1929,"Archer, Brian",male,1929-08-21,0
Archer1975,"Archer, Bridget",female,1975-05-18,1
Archibald1852,"Archibald, William",male,1852-06-03,1
Arkins1888,"Arkins, Guy",male,1888-10-14,0
Armitage1920,"Armitage, John",male,1920-11-11,1
Armstrong1908,"Armstrong, John",male,1908-07-10,0
Armstrong1909,"Armstrong, Bill",male,1909-07-01,1
Arnold1902,"Arnold, James",male,1902-04-12,0
Arthur1875,"Arthur, John",male,1875-08-15,1
Arthur1883,"Arthur, Thomas",male,1883-05-11,0
Arthur1918,"Arthur, Bill",male,1918-04-16,1
Ashley1881,"Ashley, Bill",male,1881-09-20,0
AshleyBrown1915,"Ashley-Brown, Alfred",male,1915-10-05,1
Askew1963,"Askew, Wendy",female,1963-03-16,0
Aston1916,"Aston, William",male,1916-09-19,1
Atkinson1867,"Atkinson, Llewellyn",male,1867-12-18,1
Atkinson1948,"Atkinson, Rod",male,1948-08-07,1
Aulich1945,"Aulich, Terry",male,1945-10-05,0
Aylett1900,"Aylett, Bill",male,1900-11-15,0
Ayres,"Ayres, Tim",male,NA,0
Back1950,"Back, Christopher",male,1950-02-11,0
Badman1885,"Badman, Albert",male,1885-12-18,1
Bailey1946,"Bailey, Fran",female,1946-05-21,1
Baillieu1937,"Baillieu, Marshall",male,1937-06-06,1
Baird1942,"Baird, Bruce",male,1942-02-28,1
Baker1841,"Baker, Richard",male,1841-06-22,0
Baker1873,"Baker, Francis Patrick",male,1873-05-30,1
Baker1903,"Baker, Francis Matthew",male,NA,1
Baker1958,"Baker, Mark",male,1958-12-31,1
Bakhap1866,"Bakhap, Thomas",male,1866-10-29,0
Baldwin1951,"Baldwin, Peter",male,1951-04-12,1
Baldwin1955,"Baldwin, Bob",male,1955-03-09,1
Bamford1849,"Bamford, Frederick",male,1849-02-11,1
Bandidt1906,"Bandidt, Henry",male,1906-10-12,1
Bandt1972,"Bandt, Adam",male,1972-03-11,1
Banks1962,"Banks, Julia",female,1962-09-18,1
Barker1846,"Barker, Stephen",male,NA,0
Barnard1890,"Barnard, Claude",male,1890-10-16,1
Barnard1919,"Barnard, Lance",male,1919-05-01,1
Barnes1868,"Barnes, John",male,1868-07-17,0
Barnes1901,"Barnes, Ced",male,1901-11-13,1
Barnett1962,"Barnett, Guy",male,1962-04-05,0
Barresi1955,"Barresi, Phil",male,1955-08-08,1
Barrett1858,"Barrett, John",male,1858-12-17,0
Bartlett1949,"Bartlett, Kerry",male,1949-04-15,1
Bartlett1964,"Bartlett, Andrew",male,1964-08-04,0
Barton1849,"Barton, Edmund",male,1849-01-18,1
Barwell1877,"Barwell, Henry",male,1877-02-26,0
Barwick1903,"Barwick, Garfield",male,1903-06-22,1
Batchelor1865,"Batchelor, Lee",male,1865-04-10,1
Bate1906,"Bate, Jeff",male,1906-03-05,1
Baume1930,"Baume, Michael",male,1930-07-06,1
Baume1935,"Baume, Peter",male,1935-01-30,0
Bayley1882,"Bayley, James",male,1882-03-26,1
Beahan1937,"Beahan, Michael",male,1937-01-21,0
Beale1898,"Beale, Howard",male,1898-12-10,1
Beale1934,"Beale, Julian",male,1934-10-10,1
Beard1866,"Beard, Henry",male,1866-01-20,1
Beasley1895,"Beasley, Jack",male,1895-11-09,1
Beaton1925,"Beaton, Noel",male,1925-12-28,1
Beazley1917,"Beazley, Kim (Sr)",male,1917-09-30,1
Beazley1948,"Beazley, Kim (Jr)",male,1948-12-14,1
Beck1882,"Beck, Arthur",male,1882-07-08,1
Beddall1948,"Beddall, David",male,1948-11-27,1
Beerworth1886,"Beerworth, Frederick",male,1886-05-17,0
Bell1872,"Bell, George",male,1872-11-29,1
Bell1950,"Bell, Robert",male,1950-07-22,0
Bell1968,"Bell, Angie",female,1968-07-11,1
Benn1897,"Benn, Archie",male,1897-01-20,0
Bennett1872,"Bennett, Benjamin",male,NA,1
Bennett1874,"Bennett, James",male,NA,1
Bennett1933,"Bennett, Adrian",male,1933-01-21,1
Benny1869,"Benny, Benjamin",male,1869-10-21,0
Benson1909,"Benson, Sam",male,1909-07-12,1
Berinson1932,"Berinson, Joe",male,1932-01-07,1
Bernardi1969,"Bernardi, Cory",male,1969-11-06,0
Berry1907,"Berry, Doug",male,1907-05-03,1
Bessell1923,"Bessell, Eric",male,1923-06-06,0
Best1856,"Best, Robert",male,1856-06-18,1
Bevis1955,"Bevis, Arch",male,1955-04-10,1
Bidgood1959,"Bidgood, James",male,1959-05-26,1
Billson1966,"Billson, Bruce",male,1966-01-26,1
Bilney1939,"Bilney, Gordon",male,1939-06-21,1
Bilyk1959,"Bilyk, Catryna",female,1959-02-07,0
Bird1906,"Bird, Alan",male,1906-09-28,1
Bird1962,"Bird, Sharon",female,1962-11-15,1
Birmingham1974,"Birmingham, Simon",male,1974-06-14,0
Birney1928,"Birney, Jack",male,1928-09-26,1
Birrell1913,"Birrell, Fred",male,1913-12-07,1
Bishop1913,"Bishop, Reg",male,1913-02-04,0
Bishop1942,"Bishop, Bronwyn",female,1942-10-19,1
Bishop1954,"Bishop, Mark",male,1954-06-29,0
Bishop1956,"Bishop, Julie",female,1956-07-17,1
BjelkePetersen1920,"Bjelke-Petersen, Florence",female,1920-08-11,0
Black1952,"Black, John",male,1952-01-26,0
Blackburn1880,"Blackburn, Maurice",male,1880-11-19,1
Blackburn1889,"Blackburn, Doris",female,1889-09-18,1
Blacklow1879,"Blacklow, Archibald",male,1879-10-11,1
Blackwood1861,"Blackwood, Robert",male,1861-06-20,1
Blain1894,"Blain, Adair",male,1894-11-21,1
Blakeley1886,"Blakeley, Arthur",male,1886-07-03,1
Blakey1879,"Blakey, Albert",male,1879-11-09,0
Blanchard1929,"Blanchard, Allen",male,1929-04-17,1
Bland1882,"Bland, Francis",male,1882-08-24,1
Blewett1933,"Blewett, Neal",male,1933-10-24,1
Blundell1871,"Blundell, Reginald",male,1871-02-04,1
Blunt1951,"Blunt, Charles",male,1951-01-19,1
Bolkus1950,"Bolkus, Nick",male,1950-07-17,0
Bolton1860,"Bolton, William",male,1860-11-01,0
Bonner1922,"Bonner, Neville",male,1922-03-28,0
Bonnett1916,"Bonnett, Robert",male,1916-09-01,1
Bonython1848,"Bonython, John",male,1848-10-15,1
Bosman1924,"Bosman, Len",male,1924-02-05,1
Bostock1892,"Bostock, William",male,1892-02-05,1
Boswell1940,"Boswell, Ron",male,1940-12-09,0
Bourchier1929,"Bourchier, John",male,1929-10-12,1
Bourke1913,"Bourke, Bill",male,1913-06-02,1
Bourne1954,"Bourne, Vicki",female,1954-10-22,0
Bowden1871,"Bowden, Eric",male,1871-09-30,1
Bowden1888,"Bowden, George",male,1888-03-17,1
Bowen1911,"Bowen, Nigel",male,1911-05-26,1
Bowen1922,"Bowen, Lionel",male,1922-12-28,1
Bowen1973,"Bowen, Chris",male,1973-01-17,1
Boyce1951,"Boyce, Sue",female,1951-03-15,0
Boyd1867,"Boyd, James",male,1867-07-07,1
Bradbury1976,"Bradbury, David",male,1976-02-28,1
Braddon1829,"Braddon, Edward",male,1829-06-11,1
Bradfield1933,"Bradfield, Jim",male,1933-07-30,1
Bradford1946,"Bradford, John",male,1946-01-03,1
Bragg1984,"Bragg, Andrew",male,1984-07-11,0
Braithwaite1933,"Braithwaite, Ray",male,1933-12-06,1
Brand1873,"Brand, Charles",male,1873-09-04,0
Brand1888,"Brand, William",male,1888-08-22,1
Brandis1957,"Brandis, George",male,1957-06-22,0
Branson1918,"Branson, George",male,1918-02-23,0
Breen1898,"Breen, John",male,NA,1
Breen1902,"Breen, Marie",female,1902-11-03,0
Brennan1866,"Brennan, Tom",male,NA,0
Brennan1873,"Brennan, Frank",male,NA,1
Brereton1946,"Brereton, Laurie",male,1946-05-29,1
BridgesMaxwell1929,"Bridges-Maxwell, William",male,1929-09-27,1
Briggs1977,"Briggs, Jamie",male,1977-06-09,1
Brimblecombe1898,"Brimblecombe, Wilfred",male,1898-02-06,1
Broad1975,"Broad, Andrew",male,1975-07-02,1
Broadbent1950,"Broadbent, Russell",male,1950-12-25,1
Brockman1970,"Brockman, Slade",male,1970-03-27,0
Brodtmann1963,"Brodtmann, Gai",female,1963-11-24,1
Brough1961,"Brough, Mal",male,1961-12-29,1
Brown1843,"Brown, Joseph",male,1844-02-07,1
Brown1861,"Brown, Thomas",male,1861-10-06,1
Brown1885,"Brown, Gordon",male,1885-02-11,0
Brown1894,"Brown, Geoffrey",male,1894-04-25,1
Brown1920,"Brown, Bill",male,1920-12-04,0
Brown1931,"Brown, John",male,1931-12-19,1
Brown1933,"Brown, Bob, MP",male,1933-12-02,1
Brown1940,"Brown, Neil",male,1940-02-22,1
Brown1944,"Brown, Bob, Senator",male,1944-12-27,0
Brown1963,"Brown, Carol",female,1963-07-19,0
Brownbill1914,"Brownbill, Kay",female,1914-07-21,1
Browne1924,"Browne, Peter",male,1924-07-15,1
Brownhill1935,"Brownhill, David",male,1935-11-16,0
Bruce1883,"Bruce, Stanley",male,1883-04-15,1
Bruce1884,"Bruce, Harry",male,1884-05-16,1
Brumby1953,"Brumby, John",male,1953-04-21,1
Bryant1914,"Bryant, Gordon",male,1914-08-03,1
Bryson1898,"Bryson, Bill",male,1898-02-24,1
Buchanan1905,"Buchanan, Alex",male,1905-10-04,1
Buchholz1968,"Buchholz, Scott",male,1968-03-27,1
Buckland1947,"Buckland, Geoff",male,1947-11-10,0
Bull1905,"Bull, Tom",male,1905-09-07,0
Bullock1955,"Bullock, Joe",male,1955-04-13,0
Bungey1934,"Bungey, Mel",male,1934-08-30,1
Bunton1902,"Bunton, Cleaver",male,1902-05-05,0
Burchell1883,"Burchell, Reginald",male,1883-05-20,1
Burke1910,"Burke, Tom",male,1910-08-28,1
Burke1966,"Burke, Anna",female,1966-01-01,1
Burke1969,"Burke, Tony",male,1969-11-04,1
Burney1957,"Burney, Linda",female,1957-04-25,1
Burns1869,"Burns, George",male,1869-04-19,1
Burns1929,"Burns, Bryant",male,1929-03-24,0
Burns1933,"Burns, William",male,1933-10-22,1
Burns1987,"Burns, Josh",male,1987-02-06,1
Burr1939,"Burr, Max",male,1939-01-09,1
Burston1948,"Burston, Brian",male,1948-02-25,0
Bury1913,"Bury, Les",male,1913-02-25,1
Bushby1965,"Bushby, David",male,1965-07-17,0
Butler1970,"Butler, Mark",male,1970-07-08,1
Butler1977,"Butler, Terri",female,1977-11-28,1
Buttfield1912,"Buttfield, Nancy",female,1912-11-12,0
Button1932,"Button, John",male,1932-06-30,0
Buzacott1867,"Buzacott, Dick",male,1867-09-07,0
Byrne1910,"Byrne, Condon",male,1910-05-25,0
Byrne1962,"Byrne, Anthony",male,1962-12-01,1
Cadman1937,"Cadman, Alan",male,1937-07-26,1
Cairns1914,"Cairns, Jim",male,1914-10-04,1
Cairns1929,"Cairns, Kevin",male,1929-05-15,1
Calder1916,"Calder, Sam",male,1916-08-10,1
Calvert1940,"Calvert, Paul",male,1940-01-19,0
Calwell1896,"Calwell, Arthur",male,1896-08-28,1
Cameron1851,"Cameron, Donald Norman",male,1851-11-03,1
Cameron1857,"Cameron, Cyril",male,1857-12-05,0
Cameron1873,"Cameron, Malcolm",male,1873-07-12,1
Cameron1878,"Cameron, Don",male,1878-01-19,0
Cameron1879,"Cameron, Donald Charles",male,1879-11-19,1
Cameron1895,"Cameron, Archie",male,1895-03-22,1
Cameron1900,"Cameron, Donald Alastair",male,1900-03-17,1
Cameron1913,"Cameron, Clyde",male,1913-02-11,1
Cameron1914,"Cameron, Don Newton",male,1914-01-13,0
Cameron1917,"Cameron, Don James",male,1917-10-15,1
Cameron1930,"Cameron, Ewen",male,1930-01-12,1
Cameron1935,"Cameron, Martin",male,1935-08-24,0
Cameron1938,"Cameron, Ian",male,1938-03-08,1
Cameron1940,"Cameron, Don Milner",male,1940-02-06,1
Cameron1965,"Cameron, Ross",male,1965-05-14,1
CameronDouglas1951,"Cameron, Doug",male,1951-01-27,0
CameronEoin1951,"Cameron, Eoin",male,1951-01-04,1
Campbell1939,"Campbell, Graeme",male,1939-08-13,1
Campbell1943,"Campbell, George",male,1943-02-18,0
Campbell1959,"Campbell, Ian",male,1959-05-22,0
Campbell1972,"Campbell, Jodie",female,1972-01-18,1
Canavan1980,"Canavan, Matt",male,1980-12-17,0
Cann1871,"Cann, George",male,1871-05-29,1
Cant1907,"Cant, Harry",male,1907-11-19,0
Carige1938,"Carige, Colin",male,1938-07-19,1
Carlton1935,"Carlton, Jim",male,1935-05-13,1
Carpenter1863,"Carpenter, William",male,1863-04-05,1
Carr1875,"Carr, Ernie",male,1875-09-28,1
Carr1947,"Carr, Bob",male,1947-09-28,0
Carr1955,"Carr, Kim",male,1955-07-02,0
Carrick1918,"Carrick, John",male,1918-09-04,0
Carroll1872,"Carroll, William",male,1872-01-03,0
Casey1890,"Casey, Richard",male,1890-08-29,1
Cash1919,"Cash, Doug",male,1919-07-15,1
Cash1970,"Cash, Michaelia",female,1970-07-19,0
Cass1927,"Cass, Moss",male,1927-02-18,1
Catley1942,"Catley, Bob",male,1942-09-01,1
Catts1877,"Catts, James",male,1877-08-12,1
Causley1940,"Causley, Ian",male,1940-10-19,1
Cavanagh1913,"Cavanagh, Jim",male,1913-06-21,0
Chalmers1978,"Chalmers, Jim",male,1978-03-02,1
Chamarette1948,"Chamarette, Christabel",female,1948-05-01,0
Chamberlain1884,"Chamberlain, Jack",male,1884-04-29,0
Chambers1897,"Chambers, Cyril",male,1897-02-28,1
Champion1972,"Champion, Nick",male,1972-02-27,1
Chandler1990,"Chandler, Claire",female,1990-06-01,0
Chaney1914,"Chaney, Fred Charles",male,1914-10-12,1
Chaney1941,"Chaney, Fred Michael",male,1941-10-28,1
Chanter1845,"Chanter, John",male,1845-02-11,1
Chapman1864,"Chapman, Austin",male,1864-07-10,1
Chapman1879,"Chapman, John",male,1879-12-16,0
Chapman1949,"Chapman, Grant",male,1949-04-27,1
Charles1936,"Charles, Bob",male,1936-07-24,1
Charles1948,"Charles, David",male,1948-03-02,1
Charleston1848,"Charleston, David",male,1848-05-27,0
Charlesworth1952,"Charlesworth, Ric",male,1952-02-06,1
Charlton1866,"Charlton, Matthew",male,1866-03-15,1
Chataway1864,"Chataway, Thomas",male,1864-04-06,0
Cheeseman1976,"Cheeseman, Darren",male,1976-06-08,1
Cherry1965,"Cherry, John",male,1965-05-22,0
Chester1967,"Chester, Darren",male,1967-09-13,1
Chesters1980,"Chesters, Lisa",female,1980-02-11,1
Chifley1885,"Chifley, Ben",male,1885-09-22,1
Child1921,"Child, Joan",female,1921-08-03,1
Childs1934,"Childs, Bruce",male,1934-08-23,0
Chipp1925,"Chipp, Don",male,1925-08-21,1
Chisholm1978,"Chisholm, Anthony",male,1978-02-24,0
Chresby1908,"Chresby, Arthur",male,1908-02-06,1
Christensen1978,"Christensen, George",male,1978-06-30,1
Chynoweth1941,"Chynoweth, Bob",male,1941-06-07,1
Ciccone1983,"Ciccone, Raff",male,1983-11-01,0
Ciobo1974,"Ciobo, Steve",male,1974-05-29,1
Clare1972,"Clare, Jason",male,1972-03-22,1
Clarey1890,"Clarey, Percy",male,1890-01-20,1
Clark1897,"Clark, Joe",male,1897-07-29,1
Clarke1857,"Clarke, Francis",male,1857-03-25,1
Clasby1891,"Clasby, John",male,NA,1
Clay1900,"Clay, Lionel",male,NA,1
Claydon1964,"Claydon, Sharon",female,1964-04-26,1
Clayton1942,"Clayton, Gareth",male,1942-02-03,1
Cleary1952,"Cleary, Phil",male,1952-12-08,1
Cleaver1917,"Cleaver, Richard",male,1917-08-16,1
Cleeland1938,"Cleeland, Peter",male,1938-05-31,1
Clemons1862,"Clemons, John",male,1862-03-24,0
Clothier1877,"Clothier, Robert",male,1877-03-26,0
Coates1944,"Coates, John",male,1944-03-23,1
Cobb1945,"Cobb, Michael",male,1945-03-16,1
Cobb1950,"Cobb, John",male,1950-02-11,1
Cockle1908,"Cockle, John",male,1908-09-29,1
Cohen1918,"Cohen, Sam",male,1918-10-26,0
Cohen1935,"Cohen, Barry",male,1935-04-03,1
Coker1962,"Coker, Libby",female,NA,1
Colbeck1958,"Colbeck, Richard",male,1958-04-05,0
Cole1908,"Cole, George",male,1908-02-09,0
Colebatch1872,"Colebatch, Hal",male,1872-03-29,0
Coleman1892,"Coleman, Percy",male,1892-10-20,1
Coleman1928,"Coleman, Peter",male,1928-12-15,1
Coleman1931,"Coleman, Ruth",female,1931-09-27,0
Coleman1974,"Coleman, David",male,1974-03-05,1
Coles1892,"Coles, Arthur",male,1892-08-07,1
Collard1912,"Collard, Fred",male,1912-06-06,1
Collard1936,"Collard, Stan",male,1936-03-25,0
Collett1877,"Collett, Herbert",male,1877-11-12,0
Collings1865,"Collings, Joe",male,1865-05-11,0
Collins1878,"Collins, Maurice",male,NA,1
Collins1886,"Collins, Tom",male,1886-04-06,1
Collins1946,"Collins, Bob",male,1946-02-08,0
Collins1962,"Collins, Jacinta",female,1962-09-04,0
Collins1971,"Collins, Julie",female,1971-07-03,1
Colston1938,"Colston, Mal",male,1938-04-05,0
Comber1919,"Comber, Jack",male,1919-04-15,1
Combet1958,"Combet, Greg",male,1958-04-28,1
Conaghan1971,"Conaghan, Pat",male,1971-01-31,1
Conelan1895,"Conelan, William",male,1895-12-23,1
Connelly1978,"Connelly, Vince",male,NA,1
Connolly1939,"Connolly, David",male,1939-07-20,1
Connor1907,"Connor, Rex",male,1907-01-20,1
Conquest1930,"Conquest, Bryan",male,1930-07-20,1
Conroy1864,"Conroy, Alfred",male,1864-04-07,1
Conroy1963,"Conroy, Stephen",male,1963-01-18,0
Conroy1979,"Conroy, Pat",male,1979-05-10,1
Considine1885,"Considine, Michael",male,NA,1
Cook1860,"Cook, Joseph",male,1860-12-07,1
Cook1868,"Cook, Robert",male,1868-04-18,1
Cook1943,"Cook, Peter",male,1943-11-08,0
Cooke1847,"Cooke, Samuel",male,1847-03-12,1
Cooke1904,"Cooke, Joe",male,1904-03-28,0
Cooke1938,"Cooke, Marshall",male,1938-03-04,1
Coon1869,"Coon, Jabez",male,NA,1
Coonan1947,"Coonan, Helen",female,1947-10-29,0
Cooney1934,"Cooney, Barney",male,1934-07-11,0
Cooper1888,"Cooper, Walter",male,1888-04-23,0
Cope1907,"Cope, Jim",male,1907-11-26,1
Corbett1906,"Corbett, James",male,1906-07-17,1
Corboy1896,"Corboy, Ted",male,1896-08-24,1
Corcoran1951,"Corcoran, Ann",female,1951-09-21,1
Cormack1906,"Cormack, Magnus",male,1906-02-12,0
Cormann1970,"Cormann, Mathias",male,1970-09-20,0
Corser1852,"Corser, Edward",male,NA,1
Corser1882,"Corser, Bernard",male,1882-01-04,1
Costa1900,"Costa, Dominic",male,1900-12-10,1
Costello1957,"Costello, Peter",male,1957-08-14,1
Cotter1935,"Cotter, Mick",male,1935-03-21,1
Cotton1915,"Cotton, Bob",male,1915-11-29,0
Coulter1930,"Coulter, John",male,1930-12-03,0
Coulton1958,"Coulton, Mark",male,1958-02-03,1
Courtenay1879,"Courtenay, Lionel",male,1879-05-29,0
Courtice1885,"Courtice, Ben",male,1885-03-28,0
Courtice1950,"Courtice, Brian",male,1950-04-17,1
Courtnay1903,"Courtnay, Frank",male,1903-06-06,1
Coutts1908,"Coutts, Wilfred",male,1908-06-10,1
Cowan1926,"Cowan, Bruce",male,1926-01-15,1
Cox1863,"Cox, Charles",male,1863-05-02,0
Cox1954,"Cox, David",male,1954-08-01,1
Cox1977,"Cox, Dorinda",female,NA,0
Cramer1897,"Cramer, John",male,1897-02-18,1
Crane1941,"Crane, Arthur",male,1941-08-21,0
Crawford1865,"Crawford, Thomas",male,1865-01-31,0
Crawford1947,"Crawford, Mary",female,1947-04-12,1
Crean1916,"Crean, Frank",male,1916-02-28,1
Crean1949,"Crean, Simon",male,1949-02-26,1
Cremean1907,"Cremean, Jack",male,1907-01-26,1
Crewther1983,"Crewther, Chris",male,1983-08-06,1
CrichtonBrowne1944,"Crichton-Browne, Noel",male,1944-02-02,0
Critchley1892,"Critchley, Jack",male,1892-04-18,0
Croft1871,"Croft, John",male,1871-01-20,0
Crook1959,"Crook, Tony",male,1959-06-23,1
Crosio1939,"Crosio, Janice",female,1939-01-03,1
Cross1929,"Cross, Manfred",male,1929-08-12,1
Crossin1956,"Crossin, Trish",female,1956-03-21,0
Crouch1868,"Crouch, Richard",male,1868-06-19,1
Crowley1938,"Crowley, Rosemary",female,1938-07-30,0
Cruickshank1853,"Cruickshank, George",male,1853-02-01,1
Culleton1964,"Culleton, Rod",male,1964-06-05,0
Culley1877,"Culley, Charles",male,1877-04-16,1
Culpin1846,"Culpin, Millice",male,1846-12-01,1
Cunningham1879,"Cunningham, James",male,1879-12-28,0
Cunningham1889,"Cunningham, Lou",male,1889-06-04,1
Cunningham1939,"Cunningham, Barry",male,1939-10-26,1
Curtin1885,"Curtin, John",male,1885-01-08,1
Curtin1898,"Curtin, Dan",male,1898-02-04,1
Cusack1868,"Cusack, John",male,1868-08-08,1
Daly1891,"Daly, John",male,1891-11-10,0
Daly1912,"Daly, Fred",male,1912-06-13,1
Danby1955,"Danby, Michael",male,1955-02-16,1
Dankel1864,"Dankel, George",male,1864-03-06,1
Darcey1870,"Darcey, Richard",male,1870-02-26,0
Dargavel1966,"Dargavel, Steve",male,1966-06-10,1
Darling1936,"Darling, Elaine",female,1936-06-06,1
Dastyari1983,"Dastyari, Sam",male,1983-07-28,0
DAth1970,"D'Ath, Yvette",female,1970-07-26,1
Davey1972,"Davey, Perin",female,1972-02-05,0
Davidson1897,"Davidson, Charles",male,1897-09-14,1
Davidson1915,"Davidson, Gordon",male,1915-01-17,0
Davies1884,"Davies, Billy",male,NA,1
Davies1919,"Davies, Ron",male,1919-07-25,1
Davis1900,"Davis, Frank",male,1900-04-13,1
Dawkins1947,"Dawkins, Joe",male,1947-03-02,1
Dawson1863,"Dawson, Anderson",male,1863-07-16,0
Day1952,"Day, Bob",male,1952-07-05,0
Deahm1938,"Deahm, Maggie",female,1938-10-31,1
Deakin1856,"Deakin, Alfred",male,1856-08-03,1
Dean1913,"Dean, Roger",male,1913-12-10,1
Dean1942,"Dean, Gordon",male,1942-06-13,1
Debus1943,"Debus, Bob",male,1943-09-16,1
